"ID";NAME;TRADEDATE;OPEN;HIGH;LOW;CLOSE;VALUE;DURATION;YIELD
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-09-13;1721,7;1721,7;1721,7;1721,7;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-09-14;1715,07;1715,07;1715,07;1715,07;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-09-17;1702,83;1702,83;1702,83;1702,83;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-09-18;1724,35;1724,35;1724,35;1724,35;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-09-19;1788,07;1788,07;1788,07;1788,07;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-09-20;1773,47;1773,47;1773,47;1773,47;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-09-21;1782,26;1782,26;1782,26;1782,26;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-09-24;1793,89;1793,89;1793,89;1793,89;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-09-25;1760,16;1760,16;1760,16;1760,16;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-09-26;1802,92;1802,92;1802,92;1802,92;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-09-27;1813,84;1813,84;1813,84;1813,84;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-09-28;1817,93;1817,93;1817,93;1817,93;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-01;1791,02;1791,02;1791,02;1791,02;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-02;1854,74;1854,74;1854,74;1854,74;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-03;1837,79;1837,79;1837,79;1837,79;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-04;1836,92;1836,92;1836,92;1836,92;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-05;1862,37;1862,37;1862,37;1862,37;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-08;1868,54;1868,54;1868,54;1868,54;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-09;1888,76;1888,76;1888,76;1888,76;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-10;1878,41;1878,41;1878,41;1878,41;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-11;1910,28;1910,28;1910,28;1910,28;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-12;1896,22;1896,22;1896,22;1896,22;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-15;1900,53;1900,53;1900,53;1900,53;0;;
MCFTR;Индекс МосБиржи полной доходности «брутто»;2007-10-16;1882,09;1882,09;1882,09;1882,09;0;;
